음식점번호,음식점명,대표자명,도로명주소,지번주소,음식점유형,읍면동리,본번,부번,도로명,도로명본번,도로명부번,PNU코드
3194,양벌양꼬치,PIAO XIANGZHE,"오포읍 양벌로 300-1, 101동 1층 107호 (로얄팰리스)",오포읍 양벌리 562-21번지 로얄팰리스 101동 동1층  107호,중국식,4161025027,562,21,양벌로,300,1,4.16103E+18
3195,아미포차,이승근,"오포읍 회안대로 109, 1층층",오포읍 매산리 635-8번지 1층,정종/대포집/소주방,4161025026,635,8,회안대로,109,0,4.16103E+18
3196,제주은희네해장국곤지암삼리점,김정선,"곤지암읍 경충대로 780, 1층",곤지암읍 삼리 137-4번지 1층,한식,4161025936,137,4,경충대로,780,0,4.16103E+18
3197,가람,조학륜,"남종면 산수로 1633-20, 1층",남종면 분원리 431-3번지 1층,한식,4161035021,431,3,산수로,1633,20,4.16104E+18
3198,미식객,김영숙,"도척면 도척로 501, 1층",도척면 노곡리 72-3번지 1층,한식,4161033021,72,3,도척로,501,0,4.16103E+18
3199,장지정,임현정,"장지1길 90, 1층 (역동)",역동 95-7번지 역동 1층,한식,4161011200,95,7,장지1길,90,0,4.16101E+18
3200,오르 인 산성,김미연,"남한산성면 남한산성로 732-13, 1층",남한산성면 산성리 286번지 1층,기타,4161037021,286,0,남한산성로,732,13,4.16104E+18
3201,뿌뿌떡볶이,이순덕,"중앙로 156, 1층 (경안동)",경안동 75-15번지 경안동 1층,분식,4161010100,75,15,중앙로,156,0,4.16101E+18
3202,짝태앤노가리,정경복,"순암로36번길 96, 1층 (장지동)",장지동 3-20번지 1층  지동,정종/대포집/소주방,4161011100,3,20,순암로36번길,96,0,4.16101E+18
3203,밥앤스낵,허신,"초월읍 경충대로 907, 모다아울렛 곤지암점 지1층",초월읍 산이리 77-6번지 모다아울렛곤지암점 지1층,한식,4161025323,77,6,경충대로,907,0,4.16103E+18
3204,꾼떡,허신,"초월읍 경충대로 907, 모다아울렛 곤지암점 지1층",초월읍 산이리 77-6번지 모다아울렛곤지암점 지1층,한식,4161025323,77,6,경충대로,907,0,4.16103E+18
3205,객터스타코,장윤,"경안로 29, 2층 (경안동)",경안동 34-3번지 경안동 2층,경양식,4161010100,34,3,경안로,29,0,4.16101E+18
3206,아겐족발,한춘수,"경충대로 1449, 1층 (쌍령동)",쌍령동 163-1번지 쌍령동 1층,식육(숯불구이),4161010200,163,1,경충대로,1449,0,4.16101E+18
3207,노인과바다,유경남,"태중로 20, 티큐브 1층 105호 (태전동)",태전동 282-1번지 티큐브 1층  105호 태전동,한식,4161011000,282,1,태중로,20,0,4.16101E+18
3208,심사장,심영애,"오포읍 회안대로 29, 1층",오포읍 매산리 743-6번지 1층,한식,4161025026,743,6,회안대로,29,0,4.16103E+18
3209,유에이수산,양미희,"오포읍 오포로 141-5, 1층",오포읍 능평리 145-9번지 1층,한식,4161025023,145,9,오포로,141,5,4.16103E+18
3210,마포갈비,조옥란,"순암로 26, 수현빌딩 1층 (장지동)",장지동 62-10번지 수현빌딩 1층  장지동,식육(숯불구이),4161011100,62,10,순암로,26,0,4.16101E+18
3211,Verde,박형식,"순암로 270, 3층 (중대동)",중대동 117-1번지 중대동 3층,경양식,4161010800,117,1,순암로,270,0,4.16101E+18
3212,고추짬뽕,유국환,"순암로 461, 1층 (삼동)",삼동 227-8번지 삼동 1층,중국식,4161010700,227,8,순암로,461,0,4.16101E+18
3213,24시옛날통닭,성금동,"경안로 29, 1층 (경안동)",경안동 34-3번지 경안동 1층,호프/통닭,4161010100,34,3,경안로,29,0,4.16101E+18
3214,위드치킨,이경미,, ,호프/통닭,,,,,,,
3215,데일리라이프(DailyLife),박재원,"경충대로 1407-3, 1층 (쌍령동)",쌍령동 409-16번지 쌍령동 1층,기타,4161010200,409,16,경충대로,1407,3,4.16101E+18
3216,김가네왕족발,김숙희,"벌원길 61-1, 탄벌리 현대아파트 상가 1층 (탄벌동)",탄벌동 40번지 탄벌리현대아파트 상가 1층  탄벌동,한식,4161010500,40,0,벌원길,61,1,4.16101E+18
3217,곤지암야식,김윤태,"곤지암읍 평촌길 24, 킴스빌리지아파트 상가 1층 110호",곤지암읍 삼리 125-1번지 킴스빌리지 상가 1층  110호,한식,4161025936,125,1,평촌길,24,0,4.16103E+18
3218,까미네옛날통닭,성경호,"오포읍 새말길 138, 1층",오포읍 신현리 405-10번지 1층,호프/통닭,4161025022,405,10,새말길,138,0,4.16103E+18
3219,카페데빈,홍서원,"고불로 106, 씨엘프라자 3층 (태전동)",태전동 281-4번지 씨엘프라자 3층  태전동,기타,4161011000,281,4,고불로,106,0,4.16101E+18
