업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,업태명
일반음식점,2011-02-14,해바라기,서울특별시 중랑구 면목로92길 4 (상봉동),서울특별시 중랑구 상봉동 107-42 ,72.3,호프/통닭
일반음식점,2011-02-18,칼포니치킨사가정점,"서울특별시 중랑구 면목로48길 15 (면목동,1층)",서울특별시 중랑구 면목동 458-51 1층 ,107.1,호프/통닭
일반음식점,2011-03-02,통큰먹거리,"서울특별시 중랑구 망우로30길 30 (상봉동,1층)",서울특별시 중랑구 상봉동 136-87 1층 ,43,통닭(치킨)
일반음식점,2011-03-02,로즈버드디저트상봉,"서울특별시 중랑구 면목로 470 (상봉동,한남프라자 1층)",서울특별시 중랑구 상봉동 107-6 한남프라자 1층 ,116.15,까페
일반음식점,2011-03-07,동부커피호프,"서울특별시 중랑구 중랑천로12길 54, 지하1층 (상봉동)",서울특별시 중랑구 상봉동 130-30 ,104.25,호프/통닭
일반음식점,2011-03-11,마시께,"서울특별시 중랑구 면목로 394, 1층 (면목동)",서울특별시 중랑구 면목동 359-15 ,46.48,일식
일반음식점,2011-03-11,피자 알볼로(신내점),"서울특별시 중랑구 봉화산로 215 (신내동,지상1층)",서울특별시 중랑구 신내동 613-10 지상1층 ,64.53,중국식
일반음식점,2011-03-16,딸기분식,"서울특별시 중랑구 용마공원로 7 (망우동,1층)",서울특별시 중랑구 망우동 402-89 1층 ,19.83,분식
일반음식점,2011-03-22,행복한맛집,서울특별시 중랑구 중랑역로 114 (중화동),서울특별시 중랑구 중화동 307-40 ,16.5,분식
일반음식점,2011-03-23,이에이티 종로김밥,"서울특별시 중랑구 신내로 156 (신내동,서울의료원 1층)",서울특별시 중랑구 신내동 316 서울의료원 1층 ,220,한식
일반음식점,2011-03-23,미스터짱닭,"서울특별시 중랑구 중랑역로 50 (중화동,1층)",서울특별시 중랑구 중화동 300-48 1층 ,15,통닭(치킨)
일반음식점,2011-04-01,집밥최선생,"서울특별시 중랑구 면목로74길 40 (면목동,1층)",서울특별시 중랑구 면목동 103-7 1층 ,26.4,한식
일반음식점,2011-04-04,풍성먹거리,"서울특별시 중랑구 사가정로54길 68 (면목동,1층)",서울특별시 중랑구 면목동 627-2 1층 ,26.44,한식
