시군명,상호명,업종명,소재지(도로명주소),우편번호,위도,경도,데이터기준일자
의정부시,bbq 올리브치킨 호원점,일반휴게음식-스넥,경기도 의정부시 평화로190번길 5 ,11712,37.708875,127.048403,2020-09-04
의정부시,BBQ올리브떡볶이,일반휴게음식-스넥,경기도 의정부시 용현로 155,11804,37.742122,127.092875,2020-09-04
의정부시,BBQ참숯바베큐치킨,일반휴게음식-주점,경기도 의정부시 신곡동,11740,37.742928,127.057012,2020-09-04
의정부시,BEBOP (비밥),일반휴게음식-일반한식,경기도 의정부시 평화로542번길 20,11695,37.740265,127.048513,2020-09-04
의정부시,BF(비에프),일반휴게음식-일반한식,경기도 의정부시 오목로205번길 29,11813,,,2020-09-04
의정부시,BHC 금오동점,일반휴게음식-스넥,경기도 의정부시 청사로47번길,11757,,,2020-09-04
의정부시,bhc(신곡점),일반휴게음식-일반한식,경기도 의정부시 능곡로26번길 28,11747,37.739682,127.06224,2020-09-04
의정부시,bhc비어존(민락메가박스점),일반휴게음식-스넥,경기도 의정부시 오목로205번길 39,11813,37.745559,127.096621,2020-09-04
의정부시,BHC치킨,일반휴게음식-스넥,경기도 의정부시 동일로 397,11719,37.724737,127.058178,2020-09-04
의정부시,BHC치킨,일반휴게음식-일반한식,경기도 의정부시 둔야로 45,11673,37.739817,127.039402,2020-09-04
의정부시,BLess.u (블레쓰.유),일반휴게음식-서양음식,경기도 의정부시 능곡로 46,11746,37.741473,127.06127,2020-09-04
의정부시,Bueoker by.g(부엌커바이지),일반휴게음식-일반한식,경기도 의정부시 호국로1298번길 18,11692,37.742665,127.048205,2020-09-04
의정부시,Cafe 여로,일반휴게음식-갈비전문점,경기도 의정부시 버들로47번길 13-66 ,11600,,,2020-09-04
의정부시,cafe-holic(카페홀릭),일반휴게음식-서양음식,경기도 의정부시 동일로 640,11749,37.745154,127.055096,2020-09-04
의정부시,CH'S PIZZA ZIP(초이스피자집),일반휴게음식-서양음식,경기도 의정부시 오목로225번길 78 ,11813,37.747156,127.095785,2020-09-04
의정부시,COFFEE MOMS커피맘스,일반휴게음식-서양음식,경기도 의정부시 청사로 49,11757,37.752725,127.069589,2020-09-04
의정부시,COFFEE O'CLOCK(커피어클락),일반휴게음식-서양음식,경기도 의정부시 신촌로 57,11677,37.75043,127.040712,2020-09-04
의정부시,CoffeetheFANI(커피더파니),일반휴게음식-서양음식,경기도 의정부시 시민로 29114 ,11673,37.73843,127.038346,2020-09-04
